"Node Id","Route No","Chainage Seq","Route Link No","Chainage"
"474","178108","2","178108801","213"
"477","112354","1","112354801","0"
"477","201658","2","201658801","29"
"478","5721","1","57218001","786"
"478","5855","2","58558001","2244"
"478","5856","3","58568001","3587"
"479","5292","1","52928002","0"
"479","5856","2","58568001","1372"
"480","5721","1","57218001","1026"
"480","261990","2","261990801","0"
"481","5721","1","57218001","1463"
"481","123907","2","123907801","1076"
"484","5259","1","52598001","0"
"484","5309","2","53098001","1130"
"484","174418","3","174418801","842"
"485","5431","1","54318001","1520"
"485","102327","2","102327801","0"
"485","110191","3","110191801","307"
"486","5289","1","52898001","347"
"486","182288","2","182288801","0"
"487","5874","1","58748002","5936"
"487","118846","2","118846801","840"
"488","5874","1","58748002","6139"
"488","260249","2","260249801","1162"
"489","5874","1","58748002","5624"
"489","155627","2","155627801","458"
"489","204530","3","204530801","0"
"490","5874","1","58748002","5718"
"490","182288","2","182288801","570"
"491","5874","1","58748002","7310"
"491","134018","2","134018801","0"
"492","5493","1","54938002","9152"
"492","123825","2","123825801","611"
"493","5802","1","58028001","2217"
"493","263571","2","263571801","2158"
"495","5899","1","58998001","4720"
"495","216136","2","216136801","0"
"496","5899","1","58998001","3416"
"496","121773","2","121773801","0"
"497","2830","1","28301307","13922"
"497","5899","2","58998001","6072"
"497","213892","3","213892801","0"
"499","5320","1","53208001","7235"
"499","126014","2","126014801","0"
"500","5320","1","53208001","4053"
"500","140211","2","140211801","0"
"502","2720","1","27208001","5292"
"502","206160","2","206160801","423"
"504","2400","1","24008001","27189"
"504","2720","2","27208001","6863"
"509","2720","1","27208001","10502"
"509","2996","2","29960301","4432"
"511","2996","1","29960201","4668"
"511","187654","2","187654801","341"
"513","113848","1","113848801","605"
"513","202761","2","202761801","0"
"513","208953","3","208953801","204"
"514","2720","1","27208001","11833"
"514","5806","2","58068001","0"
"514","262670","3","262670801","139"
"515","100774","1","100774801","0"
"515","111144","2","111144801","0"
"515","202761","3","202761801","198"
"515","241781","4","241781801","107"
"517","5806","1","58068001","2451"
"517","195026","2","195026801","2816"
"519","5530","1","55308001","3033"
"520","5781","1","57810404","1800"
"520","142090","2","142090801","564"
"520","195864","3","195864801","0"
"525","5802","1","58028001","18383"
"525","152376","2","152376801","0"
"526","5828","1","58288001","3100"
"526","199398","2","199398801","36"
"528","5493","1","54938003","12937"
"528","136850","2","136850801","1366"
"528","182719","3","182719801","0"
"530","5802","1","58028001","22733"
"530","127227","2","127227801","2529"
"531","5432","1","54328001","2040"
"531","179566","2","179566801","0"
"534","4991","1","49918001","21870"
"534","5780","2","57808001","6022"
"534","5781","3","57818001","10163"
"534","188247","4","188247801","0"
"535","4991","1","49918001","21674"
"535","134773","2","134773801","154"
"536","5780","1","57808001","5842"
"536","261553","2","261553801","348"
"537","4991","1","49918001","21616"
"537","224227","2","224227801","0"
"539","5493","1","54938003","13908"
"539","152534","2","152534801","0"
"539","199767","3","199767801","0"
"544","4016","1","40168001","4610"
"544","4991","2","49918001","15505"
"548","5442","1","54428001","0"
"548","192515","2","192515801","229"
"548","230192","3","230192801","648"
"552","5137","1","51378001","0"
"552","5444","2","54448004","0"
"552","5833","3","58338001","10085"
"552","173174","4","173174801","9462"
"559","5452","1","54528001","2420"
"559","5834","2","58348001","0"
"559","125480","3","125480801","0"
"559","186571","4","186571801","653"
"560","123118","1","123118801","0"
"560","186571","2","186571801","369"
"560","206212","3","206212801","1852"
"562","102723","1","102723801","0"
"562","109498","2","109498801","375"
"562","125480","3","125480801","520"
"565","180700","1","180700801","1369"
"565","181551","2","181551801","3104"
"565","261589","3","261589801","0"
"566","180700","1","180700801","780"
"566","268398","2","268398801","55"
"569","147084","1","147084801","1934"
"569","188659","2","188659801","0"
"569","268662","3","268662801","32"
