"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"12000040433 ","36291","9323"
"12000040604 ","42057","104664"
"12000040636 ","36818","101329"
"12000040931 ","29416","9375"
"12000040999 ","46221","6173"
"12001000022 ","42744","6221"
"12001000258 ","22","9260"
"12001000305 ","46648","9335"
"12001000474 ","37702","5528"
"12001000517 ","35350","105479"
"12001000541 ","45754","103581"
"12001000822 ","36084","102198"
"12001000852 ","42759","6261"
"12001001012 ","131648","5595"
"12001001017 ","119","9473"
"12001001066 ","36214","9298"
"12001001072 ","57544","100891"
"12001001103 ","35407","9499"
"12001001125 ","45938","9328"
"12001001140 ","46616","9362"
"12001001314 ","57585","6103"
"12001001366 ","42745","6212"
"12001001368 ","42818","6244"
"12001001708 ","35408","9510"
"12001001757 ","35304","9276"
"12001001788 ","36858","9413"
"12001001794 ","35510","5477"
"12001001955 ","323","104099"
"12001001986 ","57542","5771"
"12001001986 ","57542","104334"
"12001002128 ","46684","100102"
"12001002179 ","46672","9548"
"12001002245 ","57585","6103"
"12001002292 ","35350","105479"
"12001002343 ","36955","103636"
"12001002517 ","36590","104543"
"12001002592 ","369","9479"
"12001002742 ","29474","5441"
"12001002820 ","29386","9210"
"12001002839 ","57585","6103"
"12001002866 ","35387","9426"
"12001003026 ","29877","6511"
"12001003125 ","35304","9276"
"12001003150 ","29470","5433"
"12001003186 ","35408","9510"
"12001003226 ","46708","1002"
"12001003250 ","37585","9474"
"12001003453 ","29375","9241"
"12001003502 ","132040","9386"
"12001003547 ","46716","5882"
"12001003574 ","36232","9313"
"12001003781 ","83","9299"
"12001003784 ","132043","5877"
"12001003862 ","46712","102988"
"12001003910 ","35736","102977"
"12001003922 ","376","102938"
"12001003968 ","29375","9241"
"12001004063 ","596","103566"
"12001004235 ","383","5502"
"12001004503 ","37572","102300"
"12001004511 ","132122","1002"
"12001004669 ","35350","105479"
"12001004690 ","37587","9463"
"12001004735 ","29893","1001"
"12001004786 ","37049","9439"
"12001004890 ","29387","9395"
"12001004922 ","37769","102123"
"12001005133 ","36261","9315"
"12001005246 ","232890","6455"
"12001005267 ","132281","5434"
"12001005340 ","91659","5490"
"12001005594 ","11590","9475"
"12001005622 ","40093","9514"
"12001005675 ","29386","9210"
"12001005870 ","787","6139"
"12001005940 ","36210","9279"
"12001006093 ","41364","5894"
"12001006104 ","36210","9279"
"12001006181 ","37585","9474"
"12001006184 ","37173","9427"
"12001006204 ","42765","6224"
"12001006236 ","42183","6149"
"12001006388 ","41371","6008"
"12001006393 ","40177","5613"
"12001006413 ","37711","9451"
"12001006457 ","22","9260"
"12001006479 ","37295","9341"
"12001006484 ","83","9299"
"12001006487 ","132395","9322"
"12001006615 ","11613","100581"
"12001006658 ","37693","100906"
"12001006681 ","37616","106082"
"12001006708 ","37592","9490"
"12001006714 ","38009","9179"
"12001006859 ","36230","9314"
"12001006972 ","57918","5726"
"12001007241 ","46801","6035"
"12001007674 ","29470","5433"
"12001007679 ","41151","9573"
"12001007697 ","29386","9210"
"12001007913 ","29387","9395"
"12001007926 ","46169","9379"
"12001007968 ","37587","9463"
"12001008102 ","37597","9494"
"12001008115 ","37136","9414"
"12001008314 ","37049","9439"
"12001008458 ","47029","9370"
"12001008459 ","42414","6097"
"12001008471 ","376","102938"
"12001008582 ","36221","9233"
"12001008695 ","35408","9510"
"12001008785 ","673","5849"
"12001008811 ","42043","6051"
"12001008821 ","46819","9477"
"12001008836 ","37572","102300"
"12001009105 ","36094","102197"
"12001009121 ","45786","9322"
"12001009189 ","83","9299"
"12001009198 ","36858","9413"
"12001009642 ","10610","1001"
"12001009710 ","43242","6488"
"12001009721 ","43242","6488"
"12001009867 ","42864","6317"
"12001009904 ","46808","6253"
"12001009904 ","46808","6254"
"12001009937 ","42262","6096"
"12001010039 ","57528","5668"
"12001010042 ","36673","9295"
"12001010077 ","46837","5498"
"12001010180 ","42043","6051"
"12001010228 ","42207","105013"
"12001010259 ","29591","9544"
"12001010461 ","42744","6221"
"12001010467 ","42181","6138"
"12001010514 ","37590","9484"
"12001010548 ","215","100580"
"12001010604 ","35342","9231"
"12001010637 ","29396","9329"
"12001011000 ","45642","9183"
"12001011166 ","37583","9452"
"12001011176 ","41383","5882"
"12001011232 ","132040","9386"
"12001011419 ","376","102938"
"12001011488 ","42228","6142"
"12001011489 ","29396","9329"
"12001011675 ","36818","101329"
"12001011685 ","29605","5683"
"12001011869 ","46890","101687"
"12001011925 ","11729","1001"
"12001012003 ","37916","9186"
"12001012006 ","37002","9389"
"12001012327 ","169","9305"
"12001012574 ","169","9305"
"12001012865 ","36932","9400"
"12001012876 ","91659","5490"
"12001012916 ","46911","9413"
"12001012919 ","66274","104098"
"12001013032 ","36230","9314"
"12001013124 ","36983","9445"
"12001013165 ","11804","9225"
"12001013189 ","35408","9510"
"12001013191 ","57538","5762"
"12001013191 ","57538","100943"
"12001013467 ","37656","5503"
"12001013546 ","37442","103981"
"12001013583 ","169","9305"
"12001013612 ","40141","9551"
"12001013675 ","133246","6338"
"12001013681 ","35546","5754"
"12001013681 ","35546","101261"
"12001013996 ","42459","6183"
"12001014020 ","41269","5722"
"12001014066 ","57528","5668"
"12001014433 ","46672","9548"
"12001014708 ","42460","6194"
"12001014717 ","36221","9233"
"12001014758 ","36222","9242"
"12001014841 ","37529","102496"
"12001014941 ","42746","6207"
"12001015046 ","41420","5916"
"12001015268 ","37702","5528"
"12001015277 ","37321","9379"
"12001015337 ","37592","9490"
"12001015666 ","36693","9262"
"12001015708 ","57918","5726"
"12001015721 ","36782","6448"
"12001016026 ","36994","9424"
"12001016157 ","29416","9375"
"12001016215 ","42057","104664"
"12001016286 ","46648","9335"
"12001016329 ","46997","1002"
"12001016657 ","243","9389"
"12001016768 ","36234","104863"
"12001016816 ","42812","6243"
"12001016842 ","37590","9484"
"12001017040 ","83","9299"
"12001017283 ","673","5849"
"12001017297 ","37690","5488"
"12001017298 ","37265","103854"
"12001017360 ","601","5567"
"12001017386 ","37529","102496"
"12001017403 ","47002","101752"
"12001017535 ","36230","9314"
"12001017559 ","45825","100829"
"12001017566 ","29396","9329"
"12001017782 ","35546","5754"
"12001017782 ","35546","101261"
"12001017789 ","29605","5683"
"12001017869 ","47000","9550"
"12001017961 ","42750","6234"
"12001018022 ","35740","9411"
"12001018055 ","35999","102958"
"12001018057 ","36222","9242"
"12001018167 ","36291","9323"
"12001018184 ","37585","9474"
"12001018191 ","37170","9420"
"12001018312 ","35308","1001"
"12001018312 ","35308","9286"
"12001018313 ","36210","9279"
"12001018469 ","169","9305"
"12001018483 ","57539","5760"
"12001018484 ","46942","6006"
"12001018571 ","29372","9209"
"12001018920 ","29396","9329"
"12001019164 ","47013","5822"
"12001019249 ","41236","102692"
"12001019252 ","29386","9210"
"12001019435 ","42048","6082"
"12001019630 ","35394","106072"
"12001019638 ","37002","9389"
"12001019725 ","42771","6300"
"12001019732 ","37049","9439"
"12001019743 ","29464","9498"
"12001019853 ","47032","103514"
"12001019926 ","37587","9463"
"12001019961 ","673","5849"
"12001019995 ","47029","9370"
"12001020243 ","232905","6387"
"12001020353 ","57918","5726"
"12001020363 ","222083","1002"
"12001020421 ","29605","5683"
"12001020688 ","37583","9452"
"12001020717 ","36932","9400"
"12001020884 ","42815","6381"
"12001020945 ","37916","9186"
"12001020980 ","47042","9262"
"12001021004 ","37763","5450"
"12001021063 ","35546","5754"
"12001021063 ","35546","101261"
"12001021125 ","41469","5822"
"12001021271 ","47029","9370"
"12001021274 ","47044","103642"
"12001021411 ","37720","5441"
"12001021427 ","42221","6155"
"12001021440 ","42858","6273"
"12001021486 ","36239","101931"
"12001021494 ","40093","9514"
"12001021749 ","37049","9439"
"12001021775 ","47052","103513"
"12001021927 ","46463","6224"
"12001022053 ","42147","6172"
"12001022115 ","29386","9210"
"12001022257 ","37624","106078"
"12001022490 ","37321","9379"
"12001022499 ","11171","9243"
"12001022636 ","29390","104777"
"12001022640 ","37452","100635"
"12001022842 ","41148","9566"
"12001022880 ","29375","9241"
"12001023007 ","37788","5457"
"12001023122 ","41371","6008"
"12001023188 ","35408","9510"
"12001023282 ","42692","6257"
"12001023382 ","37585","9474"
"12001023460 ","57585","6103"
"12001023478 ","29372","9209"
"12001023490 ","37788","5457"
"12001023587 ","41149","9572"
"12001023615 ","37059","9357"
"12001023688 ","47064","102967"
"12001023761 ","29887","1002"
"12001024027 ","57918","5726"
"12001024133 ","47080","5990"
"12001024137 ","29386","9210"
"12001024166 ","37200","9380"
"12001024222 ","37916","9186"
"12001024350 ","45952","9274"
"12001024390 ","37752","5533"
"12001024539 ","29887","1002"
"12001024617 ","42732","100928"
"12001024646 ","45786","9322"
"12001024753 ","36291","9323"
"12001024799 ","37630","106079"
"12001025110 ","22","9260"
"12001025505 ","34104","101245"
"12001025556 ","36123","105642"
"12001025643 ","37706","100907"
"12001025651 ","42269","100450"
"12001025708 ","37741","5444"
"12001025803 ","119","9473"
